"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage"
"1%","New Mexico",2020-08-22,1,10,3991.04,1
"2.5%","New Mexico",2020-08-22,1,25,3218.3,1
"5%","New Mexico",2020-08-22,1,46,2566.05,1
"10%","New Mexico",2020-08-22,1,97.9,1993,1
"15%","New Mexico",2020-08-22,1,148,1623.15,1
"20%","New Mexico",2020-08-22,1,203,1386,1
"25%","New Mexico",2020-08-22,1,254,1207.25,1
"30%","New Mexico",2020-08-22,1,316,1056.3,1
"35%","New Mexico",2020-08-22,1,382,934,1
"40%","New Mexico",2020-08-22,1,447,809,0
"45%","New Mexico",2020-08-22,1,528,705,0
"1%1","New Mexico",2020-08-22,2,10,4711.08,1
"2.5%1","New Mexico",2020-08-22,2,25,3452.15,1
"5%1","New Mexico",2020-08-22,2,46,2681,1
"10%1","New Mexico",2020-08-22,2,11,1903.3,1
"15%1","New Mexico",2020-08-22,2,25,1442,1
"20%1","New Mexico",2020-08-22,2,46,1136.4,1
"25%1","New Mexico",2020-08-22,2,71,911.25,1
"30%1","New Mexico",2020-08-22,2,105,738.3,0
"35%1","New Mexico",2020-08-22,2,142,591.350000000001,0
"40%1","New Mexico",2020-08-22,2,191,477,0
"45%1","New Mexico",2020-08-22,2,247,390,0
"1%2","New Mexico",2020-08-22,3,10,6029.25000000001,1
"2.5%2","New Mexico",2020-08-22,3,25,4273.075,1
"5%2","New Mexico",2020-08-22,3,46,2979.15,1
"10%2","New Mexico",2020-08-22,3,11,1824,1
"15%2","New Mexico",2020-08-22,3,25,1254.3,1
"20%2","New Mexico",2020-08-22,3,46,892,1
"25%2","New Mexico",2020-08-22,3,71,627,1
"30%2","New Mexico",2020-08-22,3,14,464,0
"35%2","New Mexico",2020-08-22,3,25,337.350000000001,0
"40%2","New Mexico",2020-08-22,3,44,237.400000000001,0
"45%2","New Mexico",2020-08-22,3,70,157.45,0
"1%3","New Mexico",2020-08-22,4,10,7290.04,1
"2.5%3","New Mexico",2020-08-22,4,25,4760.82499999997,1
"5%3","New Mexico",2020-08-22,4,46,2942.25,1
"10%3","New Mexico",2020-08-22,4,11,1498,1
"15%3","New Mexico",2020-08-22,4,25,782,0
"20%3","New Mexico",2020-08-22,4,46,459,0
"25%3","New Mexico",2020-08-22,4,71,267,0
"30%3","New Mexico",2020-08-22,4,14,151.3,0
"35%3","New Mexico",2020-08-22,4,25,81,0
"40%3","New Mexico",2020-08-22,4,44,41.4000000000005,0
"45%3","New Mexico",2020-08-22,4,70,20,0
"1%4","New Mexico",2020-08-29,1,8,3413.45000000001,1
"2.5%4","New Mexico",2020-08-29,1,20,2815.3,1
"5%4","New Mexico",2020-08-29,1,40.95,2324.05,1
"10%4","New Mexico",2020-08-29,1,79,1801,1
"15%4","New Mexico",2020-08-29,1,129,1463,1
"20%4","New Mexico",2020-08-29,1,171,1255,1
"25%4","New Mexico",2020-08-29,1,217,1077.25,1
"30%4","New Mexico",2020-08-29,1,279,951.3,1
"35%4","New Mexico",2020-08-29,1,339,832.350000000001,0
"40%4","New Mexico",2020-08-29,1,398.6,724,0
"45%4","New Mexico",2020-08-29,1,464,627.45,0
"1%5","New Mexico",2020-08-29,2,8,4477.36000000001,1
"2.5%5","New Mexico",2020-08-29,2,20,3498.2,1
