"","State","Date","horizon","Lower_Quantile","Upper_Quantile","Coverage","Level"
"1%","Oklahoma",2020-08-15,1,2044.86,7872.18,1,0.01
"2.5%","Oklahoma",2020-08-15,1,2318.975,7162.25,1,0.025
"5%","Oklahoma",2020-08-15,1,2596.95,6694.05,1,0.05
"10%","Oklahoma",2020-08-15,1,2902,6158.1,1,0.1
"15%","Oklahoma",2020-08-15,1,3138.85,5768,1,0.15
"20%","Oklahoma",2020-08-15,1,3355.8,5465.2,1,0.2
"25%","Oklahoma",2020-08-15,1,3567,5232.25,1,0.25
"30%","Oklahoma",2020-08-15,1,3727.7,5012.6,1,0.3
"35%","Oklahoma",2020-08-15,1,3900,4831.35,1,0.35
"40%","Oklahoma",2020-08-15,1,4042.6,4647.2,0,0.4
"45%","Oklahoma",2020-08-15,1,4189,4506.45,0,0.45
"1%1","Oklahoma",2020-08-15,2,1016.89,14161.42,1,0.01
"2.5%1","Oklahoma",2020-08-15,2,1182.95,12052.6,1,0.025
"5%1","Oklahoma",2020-08-15,2,1381.9,10217.5,1,0.05
"10%1","Oklahoma",2020-08-15,2,1726.8,8379,1,0.1
"15%1","Oklahoma",2020-08-15,2,2021.85,7327.3,1,0.15
"20%1","Oklahoma",2020-08-15,2,2301.6,6583.6,1,0.2
"25%1","Oklahoma",2020-08-15,2,2568.5,5913,1,0.25
"30%1","Oklahoma",2020-08-15,2,2813.7,5404,1,0.3
"35%1","Oklahoma",2020-08-15,2,3095,4997,1,0.35
"40%1","Oklahoma",2020-08-15,2,3379.6,4638.4,0,0.4
"45%1","Oklahoma",2020-08-15,2,3646,4293.45,0,0.45
"1%2","Oklahoma",2020-08-15,3,831,13337.3,1,0.01
"2.5%2","Oklahoma",2020-08-15,3,979.95,11256.375,1,0.025
"5%2","Oklahoma",2020-08-15,3,1145.9,9441.45,1,0.05
"10%2","Oklahoma",2020-08-15,3,1467.9,7790.2,1,0.1
"15%2","Oklahoma",2020-08-15,3,1743.55,6740.45,1,0.15
"20%2","Oklahoma",2020-08-15,3,2017.8,6019.2,1,0.2
"25%2","Oklahoma",2020-08-15,3,2244.75,5460.25,0,0.25
"30%2","Oklahoma",2020-08-15,3,2486.7,5030.5,0,0.3
"35%2","Oklahoma",2020-08-15,3,2724.65,4635.7,0,0.35
"40%2","Oklahoma",2020-08-15,3,3020.6,4284.8,0,0.4
"45%2","Oklahoma",2020-08-15,3,3285,3909.45,0,0.45
"1%3","Oklahoma",2020-08-15,4,881.98,13410.32,1,0.01
"2.5%3","Oklahoma",2020-08-15,4,959.925,11195.275,1,0.025
"5%3","Oklahoma",2020-08-15,4,1078.95,9670.25,1,0.05
"10%3","Oklahoma",2020-08-15,4,1333.9,7759.60000000001,1,0.1
"15%3","Oklahoma",2020-08-15,4,1564.85,6717.15,1,0.15
"20%3","Oklahoma",2020-08-15,4,1786.6,5906.4,1,0.2
"25%3","Oklahoma",2020-08-15,4,2014.75,5271.25,0,0.25
"30%3","Oklahoma",2020-08-15,4,2248.7,4793.9,0,0.3
"35%3","Oklahoma",2020-08-15,4,2468,4327.05,0,0.35
"40%3","Oklahoma",2020-08-15,4,2750.2,3958.4,0,0.4
"45%3","Oklahoma",2020-08-15,4,3004,3615.8,0,0.45
"1%4","Oklahoma",2020-08-22,1,2216.48,8297.71,1,0.01
"2.5%4","Oklahoma",2020-08-22,1,2514.125,7537.575,1,0.025
"5%4","Oklahoma",2020-08-22,1,2779.2,6996.6,1,0.05
"10%4","Oklahoma",2020-08-22,1,3151.5,6401.7,1,0.1
"15%4","Oklahoma",2020-08-22,1,3395.5,6049.65,1,0.15
"20%4","Oklahoma",2020-08-22,1,3591.3,5766.1,1,0.2
"25%4","Oklahoma",2020-08-22,1,3773.25,5516,1,0.25
