name,tipnum,year,antigen
337b33d6,11665,0.1534,1
79d16ba,610,0.1534,1
5a0ad24e,2658,0.1534,1
39ebe95b,3423,0.1534,1
53e49833,13193,0.1534,1
1baa3b48,11658,0.1534,1
3c237c33,856,0.1534,1
30b7515b,4554,0.1534,1
56f0d727,14614,0.1534,1
21a2f8ca,1934,0.1534,1
6c7da29,9044,0.1534,1
cf07e23,2243,0.1534,1
5c69c975,601,0.1534,1
6a3b0e9a,14936,0.1534,1
52958766,680,0.1534,1
5d9bfa71,9272,0.1534,1
4faba2d6,1905,0.1534,1
7d562a67,10991,0.1534,1
3863c1c,1703,0.1534,1
1cc066f,13637,0.1534,1
13e3a992,1323,0.1534,1
5f2aac9b,10213,0.1534,84
6d7e1dbe,13912,0.1534,1
ce09100,323,0.1534,1
2c10637,11228,0.1534,1
8852c80,494,0.1534,1
158b43c3,14406,0.1534,1
1debb8e3,11321,0.1534,1
36d12a89,5880,0.1534,1
790be2cb,7529,0.1534,1
396761a9,1060,0.1534,1
35a950e8,5882,0.1534,1
2140141f,1537,0.1534,1
1e7af7dc,6044,0.1534,1
38414362,2609,0.1534,1
3a2917ea,3986,0.1534,1
1be80c5c,1554,0.1534,1
5265ccea,14387,0.1534,1
608ddf97,2053,0.1534,1
12e9022b,2498,0.1534,1
49b876c6,3614,0.1534,1
3546e187,5028,0.1534,1
3b39e1df,5825,0.1534,52
611b54c9,9900,0.1534,1
6b9f106a,1431,0.1534,1
69579e47,2523,0.1534,1
1d14bdab,11908,0.1534,1
26121fdc,5274,0.1534,1
351d5734,4078,0.1534,1
606d4276,7233,0.1534,1
582c5235,1264,0.1534,1
6ef65a13,8309,0.1534,1
310d140e,199,0.1534,1
3b798eab,1474,0.1534,1
17ede0b,12326,0.1534,1
5d043af5,11500,0.1534,1
470f83f,2203,0.1534,1
730b32cc,1278,0.1534,1
4722420,4360,0.1534,1
78dd65c9,6429,0.1534,1
7b6fdbed,13567,0.1534,1
51581b1e,4736,0.1534,1
449e7631,140,0.1534,1
57fea046,2177,0.1534,1
524bb9e7,11088,0.1534,1
43dac85b,11787,0.1534,1
744201ef,3298,0.1534,1
569c63b1,3425,0.1534,1
61194760,1935,0.1534,1
59976c04,10823,0.1534,1
4c1aff7d,2055,0.1534,1
2833d268,8557,0.1534,1
1d07ad34,2600,0.1534,1
7f9215dc,10339,0.1534,1
6468ec44,13667,0.1534,1
52fed233,1036,0.1534,1
7deb8d3e,9678,0.1534,1
72b0bb55,1417,0.1534,1
1d637c2a,11701,0.1534,1
3e4aa90e,8815,0.1534,1
1a819bbe,1374,0.1534,1
c93d19b,9212,0.1534,1
6d1ce1a8,13585,0.1534,1
6b18520d,1638,0.1534,1
f184b9,4593,0.1534,1
16bba372,13151,0.1534,1
1ca001ac,13183,0.1534,1
3581a00f,3578,0.1534,1
39593e4a,1180,0.1534,1
72b2aa20,13422,0.1534,1
6e8368bb,8259,0.1534,1
563a2cbc,10832,0.1534,1
2661f35f,504,0.1534,1
4165be19,168,0.1534,1
3456d03e,8581,0.1534,1
330e45c4,569,0.1534,1
1adcb3f1,6730,0.1534,1
76a553c5,14101,0.1534,1
74f0ba0f,4268,0.1534,1
3591f130,10249,0.1534,1
4a2d8f48,5601,0.1534,1
16cad6b3,2228,0.1534,1
671b36a7,11535,0.1534,1
3bb0d33d,11121,0.1534,1
5db94305,4898,0.1534,1
7b48d035,13090,0.1534,1
3b77fea1,1680,0.1534,1
5e74966,14576,0.1534,1
2fa520a3,9356,0.1534,1
2b234100,7161,0.1534,1
1430817b,13653,0.1534,1
ae2fc7a,290,0.1534,1
cc475bd,3044,0.1534,1
3d5e1e64,5487,0.1534,1
2df56bed,5211,0.1534,1
30694305,6575,0.1534,1
1f2fa128,8872,0.1534,1
52cf2197,3292,0.1534,1
54e39220,11806,0.1534,1
2e6882d2,12896,0.1534,1
4cac50d6,10536,0.1534,1
67c4034d,13141,0.1534,1
2ffeff07,7749,0.1534,1
456a8638,3868,0.1534,1
6b6e44a3,255,0.1534,1
50d13d9b,5314,0.1534,1
2c77fce8,4489,0.1534,1
742928a6,619,0.1534,1
62ab18fc,4628,0.1534,1
65632b5d,9696,0.1534,1
7c31200e,9,0.1534,1
6fb213dc,3746,0.1534,1
52637a94,2549,0.1534,1
2ea68a46,12307,0.1534,1
5be2fecc,8641,0.1534,1
24b13a9f,14463,0.1534,1
6d4f4347,2008,0.1534,1
77211012,11085,0.1534,1
16b12486,2803,0.1534,1
534fdb98,6634,0.1534,1
173186c,3334,0.1534,1
7ead39d0,3337,0.1534,1
986de15,3973,0.1534,1
160c5eb7,15388,0.1534,1
f259462,3146,0.1534,1
18515fef,1117,0.1534,1
27184c86,6015,0.1534,1
53954734,5266,0.1534,1
70b05fa0,449,0.1534,1
620cd87e,2251,0.1534,29
715d4c5,11621,0.1534,1
7ec09ff4,11129,0.1534,1
c7f82d3,8285,0.1534,1
8b4740a,4658,0.1534,1
21ae2a25,5153,0.1534,1
5beb2edb,2396,0.1534,1
2bf2566f,6533,0.1534,1
cd633f,6290,0.1534,1
50629e01,12234,0.1534,1
52fdff20,4173,0.1534,1
6b059a3e,236,0.1534,1
bac8fa,7750,0.1534,1
446cdc7a,1239,0.1534,1
79d53f28,14838,0.1534,1
3ec68e46,5591,0.1534,1
686d7c7c,9623,0.1534,1
4a40e207,12848,0.1534,1
1abcb818,14532,0.1534,1
1082a1b7,4044,0.1534,1
456d22a,12184,0.1534,1
138fb147,11846,0.1534,1
5e9229eb,1982,0.1534,1
21913659,1796,0.1534,1
241bb4c5,6510,0.1534,57
